Laporan Nilai Barang

Tanggal Cetak,23-12-2018
Jumlah SKU,31
Jumlah Total Barang,13052
Total Nilai,2.07738e+09

SKU,Nama Barang,Jumlah,Rata Rata Harga Beli,Total
SSI-D00791015-LL-BWH,"Zalekia Plain Casual Blouse (L,Broken White)",616,80000,4.928e+07
SSI-D00791077-MM-BWH,"Zalekia Plain Casual Blouse (M,Broken White)",552,85000,4.692e+07
SSI-D00791091-XL-BWH,"Zalekia Plain Casual Blouse (XL,Broken White)",548,90000,4.932e+07
SSI-D00864612-LL-NAV,"Deklia Plain Casual Blouse (L,Navy)",32,95000,3.04e+06
SSI-D00864614-XL-NAV,"Deklia Plain Casual Blouse (XL,Navy)",388,100000,3.88e+07
SSI-D00864652-SS-NAV,"Deklia Plain Casual Blouse (S,Navy)",8,105000,840000
SSI-D00864661-MM-NAV,"Deklia Plain Casual Blouse (M,Navy)",52,110000,5.72e+06
SSI-D01037807-X3-BWH,"Dellaya Plain Loose Big Blouse (XXXL,Broken White)",296,115000,3.404e+07
SSI-D01037812-X3-BLA,"Dellaya Plain Loose Big Blouse (XXXL,Black)",216,120000,2.592e+07
SSI-D01037822-XX-BLA,"Dellaya Plain Loose Big Blouse (XXL,Black)",32,125000,4e+06
SSI-D01220307-XL-SAL,"Devibav Plain Trump Blouse (XL,Salem)",728,130000,9.464e+07
SSI-D01220322-MM-YEL,"Devibav Plain Trump Blouse (M,Yellow)",484,135000,6.534e+07
SSI-D01220334-XL-YEL,"Devibav Plain Trump Blouse (XL,Yellow)",440,140000,6.16e+07
SSI-D01220338-XX-SAL,"Devibav Plain Trump Blouse (XXL,Salem)",260,145000,3.77e+07
SSI-D01220346-LL-SAL,"Devibav Plain Trump Blouse (L,Salem)",604,150000,9.06e+07
SSI-D01220349-LL-YEL,"Devibav Plain Trump Blouse (L,Yellow)",404,155000,6.262e+07
SSI-D01220355-XX-YEL,"Devibav Plain Trump Blouse (XXL,Yellow)",560,160000,8.96e+07
SSI-D01220357-SS-YEL,"Devibav Plain Trump Blouse (S,Yellow)",296,165000,4.884e+07
SSI-D01220388-MM-SAL,"Devibav Plain Trump Blouse (M,Salem)",864,170000,1.4688e+08
SSI-D01322234-LL-WHI,"Thafqya Plain Raglan Blouse (L,White)",420,175000,7.35e+07
SSI-D01322275-XL-WHI,"Thafqya Plain Raglan Blouse (XL,White)",464,180000,8.352e+07
SSI-D01326201-XL-KHA,"Siunfhi Ethnic Trump Blouse (XL,Khaki)",744,185000,1.3764e+08
SSI-D01326205-MM-NAV,"Siunfhi Ethnic Trump Blouse (M,Navy)",572,190000,1.0868e+08
SSI-D01326223-MM-KHA,"Siunfhi Ethnic Trump Blouse (M,Khaki)",836,195000,1.6302e+08
SSI-D01326286-LL-KHA,"Siunfhi Ethnic Trump Blouse (L,Khaki)",840,200000,1.68e+08
SSI-D01326299-LL-NAV,"Siunfhi Ethnic Trump Blouse (L,Navy)",508,205000,1.0414e+08
SSI-D01401050-MM-RED,"Zeomila Zipper Casual Blouse (M,Red)",292,210000,6.132e+07
SSI-D01401064-XL-RED,"Zeomila Zipper Casual Blouse (XL,Red)",176,215000,3.784e+07
SSI-D01401071-LL-RED,"Zeomila Zipper Casual Blouse (L,Red)",304,220000,6.688e+07
SSI-D01466013-XX-BLA,"Salyara Plain Casual Big Blouse (XXL,Black)",308,225000,6.93e+07
SSI-D01466064-X3-BLA,"Salyara Plain Casual Big Blouse (XXXL,Black)",208,230000,4.784e+07
